experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E3,XED,displace_dist,50,100,1.0,0.0,0.0,0.0,0.0,0.0,2.71,7.9414,1.5565,1.0,107.29,35.8955,7.0355,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1166.9727,2.2387,0.4388,1452.8251,25.949,5.086,0.0403,0.0007,0.0001,0.0,0.0,0.0,0.0403,0.0007,0.0001
E3,SIG_RANGE,displace_dist,50,100,1.0,0.0,0.0,0.0,0.0,0.0,658.32,222.4913,43.6083,0.93,1481.8925,266.907,54.2469,0.0037,0.0018,0.0003,0.9957,0.0017,0.0003,0.155,0.2889,0.0566,1355.099,24.8033,4.8615,3009.6347,56.949,11.162,0.0836,0.0016,0.0003,0.0,0.0,0.0,0.0836,0.0016,0.0003
E3,NBHD_TRUST,displace_dist,50,100,0.9,0.3,0.0588,0.1,0.3,0.0588,292.3222,235.8324,48.7235,0.0,,,,0.0011,0.0022,0.0004,0.9989,0.0021,0.0004,0.77,0.4208,0.0825,3417.1692,21.1442,4.1443,760.9122,14.0334,2.7505,0.0211,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E3,PROPOSED,displace_dist,50,100,0.86,0.2354,0.0461,0.14,0.2354,0.0461,966.8939,362.1696,71.3428,0.02,1730.5,116.5,161.4608,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2358.7203,37.4698,7.3441,6057.9537,108.6912,21.3035,0.1682,0.003,0.0006,0.0002,0.0,0.0,0.1684,0.003,0.0006
E3,XED,displace_dist,100,100,1.0,0.0,0.0,0.0,0.0,0.0,3.38,8.5881,1.6833,1.0,109.7,40.6075,7.9591,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.135,2.1598,0.4233,1455.7118,22.282,4.3673,0.0404,0.0006,0.0001,0.0,0.0,0.0,0.0404,0.0006,0.0001
E3,SIG_RANGE,displace_dist,100,100,1.0,0.0,0.0,0.0,0.0,0.0,387.805,232.3218,45.5351,1.0,1197.78,308.4789,60.4619,0.0038,0.0018,0.0004,0.9958,0.0018,0.0004,0.12,0.2462,0.0482,1362.9988,24.2259,4.7483,3001.9498,49.8545,9.7715,0.0833,0.0014,0.0003,0.0,0.0,0.0,0.0833,0.0014,0.0003
E3,NBHD_TRUST,displace_dist,100,100,0.96,0.196,0.0384,0.04,0.196,0.0384,226.375,117.2872,23.4623,0.0,,,,0.0018,0.0031,0.0006,0.998,0.0025,0.0005,0.59,0.4918,0.0964,3418.3475,19.9615,3.9125,761.142,11.9953,2.3511,0.0211,0.0003,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E3,PROPOSED,displace_dist,100,100,0.995,0.0497,0.0098,0.005,0.0497,0.0098,578.335,242.6405,47.5575,0.59,1651.1864,253.7413,64.7472,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2388.5125,33.54,6.5738,6036.3781,94.5075,18.5235,0.1676,0.0026,0.0005,0.0002,0.0,0.0,0.1678,0.0026,0.0005
E3,XED,displace_dist,150,100,1.0,0.0,0.0,0.0,0.0,0.0,4.46,9.5629,1.8743,1.0,114.65,38.7921,7.6033,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.1747,2.2138,0.4339,1455.4186,23.9897,4.702,0.0404,0.0007,0.0001,0.0,0.0,0.0,0.0404,0.0007,0.0001
E3,SIG_RANGE,displace_dist,150,100,1.0,0.0,0.0,0.0,0.0,0.0,281.01,177.3607,34.7627,1.0,1105.83,293.2252,57.4721,0.0043,0.0013,0.0002,0.9952,0.001,0.0002,0.12,0.2561,0.0502,1367.087,22.3231,4.3753,2994.443,52.9179,10.3719,0.0831,0.0015,0.0003,0.0,0.0,0.0,0.0831,0.0015,0.0003
E3,NBHD_TRUST,displace_dist,150,100,1.0,0.0,0.0,0.0,0.0,0.0,202.56,105.058,20.5914,0.0,,,,0.0014,0.002,0.0004,0.9972,0.0025,0.0005,0.45,0.4975,0.0975,3416.0233,21.143,4.144,760.6293,13.1063,2.5688,0.0211,0.0004,0.0001,0.0008,0.0,0.0,0.0219,0.0004,0.0001
E3,PROPOSED,displace_dist,150,100,1.0,0.0,0.0,0.0,0.0,0.0,466.225,195.6298,38.3434,0.7,1555.0286,250.9508,58.7889,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2392.1343,37.8218,7.4131,6024.7124,97.3773,19.086,0.1673,0.0027,0.0005,0.0002,0.0,0.0,0.1674,0.0027,0.0005
E3,XED,displace_dist,200,100,1.0,0.0,0.0,0.0,0.0,0.0,2.45,6.0073,1.1774,1.0,105.38,35.0844,6.8765,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.1608,2.0018,0.3924,1455.0582,22.3862,4.3877,0.0404,0.0006,0.0001,0.0,0.0,0.0,0.0404,0.0006,0.0001
E3,SIG_RANGE,displace_dist,200,100,1.0,0.0,0.0,0.0,0.0,0.0,273.54,177.3546,34.7615,1.0,1085.74,332.1762,65.1065,0.004,0.0017,0.0003,0.9956,0.0017,0.0003,0.135,0.2816,0.0552,1369.5772,25.084,4.9165,2994.0759,50.1444,9.8283,0.0831,0.0014,0.0003,0.0,0.0,0.0,0.0831,0.0014,0.0003
E3,NBHD_TRUST,displace_dist,200,100,1.0,0.0,0.0,0.0,0.0,0.0,230.8,150.6852,29.5343,0.0,,,,0.0018,0.0036,0.0007,0.9973,0.0025,0.0005,0.47,0.4991,0.0978,3420.5028,21.8994,4.2923,760.2362,12.6137,2.4723,0.0211,0.0004,0.0001,0.0008,0.0,0.0,0.0219,0.0004,0.0001
E3,PROPOSED,displace_dist,200,100,0.995,0.0497,0.0098,0.005,0.0497,0.0098,467.03,224.9518,44.0906,0.68,1489.2941,271.5982,64.5548,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2398.6802,37.0012,7.2522,6026.8193,95.6859,18.7544,0.1673,0.0027,0.0005,0.0002,0.0,0.0,0.1675,0.0027,0.0005
E3,XED,displace_dist,300,100,1.0,0.0,0.0,0.0,0.0,0.0,4.43,10.2609,2.0111,1.0,111.62,34.6017,6.7819,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.3082,2.2214,0.4354,1456.7969,27.0388,5.2996,0.0404,0.0008,0.0001,0.0,0.0,0.0,0.0404,0.0008,0.0001
E3,SIG_RANGE,displace_dist,300,100,1.0,0.0,0.0,0.0,0.0,0.0,243.0,179.3964,35.1617,1.0,1102.85,321.0903,62.9337,0.0038,0.0019,0.0004,0.9959,0.0019,0.0004,0.115,0.2725,0.0534,1365.4086,24.8279,4.8663,2997.5727,58.1978,11.4068,0.0832,0.0016,0.0003,0.0,0.0,0.0,0.0832,0.0016,0.0003
