experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,COV_mean,COV_std,COV_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E4,XED,replicas_per_victim,1,50,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,,,,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1168.2328,1.9871,0.5508,1480.0358,22.6384,6.275,0.0411,0.0006,0.0002,0.0,0.0,0.0,0.0411,0.0006,0.0002
E4,SIG_RANGE,replicas_per_victim,1,50,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,,,,0.0041,0.0015,0.0004,0.9953,0.0012,0.0003,0.08,0.2713,0.0752,1251.6486,13.4219,3.7204,3004.6475,47.0167,13.0324,0.0834,0.0013,0.0004,0.0,0.0,0.0,0.0834,0.0013,0.0004
E4,NBHD_TRUST,replicas_per_victim,1,50,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,,,,0.0019,0.0036,0.001,1.0,0.0,0.0,1.0,0.0,0.0,3419.0826,18.7308,5.1919,753.5616,11.4055,3.1614,0.0209,0.0003,0.0001,0.0008,0.0,0.0,0.0217,0.0003,0.0001
E4,PROPOSED,replicas_per_victim,1,50,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2285.0047,29.8715,8.2799,6029.909,90.3773,25.0513,0.1674,0.0025,0.0007,0.0002,0.0,0.0,0.1676,0.0025,0.0007
E4,XED,replicas_per_victim,2,50,1.0,0.0,0.0,0.0,0.0,0.0,30.68,31.3977,8.703,1.0,140.98,39.4165,10.9257,1.0,0.0,0.0,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.6656,1.9945,0.5529,1467.3465,23.8541,6.612,0.0407,0.0007,0.0002,0.0,0.0,0.0,0.0407,0.0007,0.0002
E4,SIG_RANGE,replicas_per_victim,2,50,1.0,0.0,0.0,0.0,0.0,0.0,29.56,29.936,8.2978,1.0,514.08,132.3013,36.672,1.0,0.0,0.0,0.0036,0.0019,0.0005,0.996,0.002,0.0006,0.22,0.4142,0.1148,1300.7325,18.0277,4.997,2985.0306,46.4139,12.8653,0.0829,0.0013,0.0004,0.0,0.0,0.0,0.0829,0.0013,0.0004
E4,NBHD_TRUST,replicas_per_victim,2,50,1.0,0.0,0.0,0.0,0.0,0.0,305.5,103.4488,28.6745,0.0,,,,0.0792,0.0602,0.0167,0.0016,0.0028,0.0008,0.9986,0.0022,0.0006,0.72,0.449,0.1245,3417.5412,18.6126,5.1592,753.7323,11.4766,3.1811,0.0209,0.0003,0.0001,0.0008,0.0,0.0,0.0217,0.0003,0.0001
E4,PROPOSED,replicas_per_victim,2,50,1.0,0.0,0.0,0.0,0.0,0.0,247.2,105.3186,29.1928,1.0,1062.9,188.2818,52.1891,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2336.5428,30.6551,8.4972,5990.5547,95.2347,26.3977,0.1663,0.0026,0.0007,0.0002,0.0,0.0,0.1665,0.0026,0.0007
E4,XED,replicas_per_victim,3,50,1.0,0.0,0.0,0.0,0.0,0.0,5.92,12.3949,3.4357,1.0,115.24,26.8094,7.4312,1.0,0.0,0.0,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.066,1.9562,0.5422,1465.4562,23.5991,6.5413,0.0407,0.0007,0.0002,0.0,0.0,0.0,0.0407,0.0007,0.0002
E4,SIG_RANGE,replicas_per_victim,3,50,1.0,0.0,0.0,0.0,0.0,0.0,15.82,19.4159,5.3818,1.0,603.54,138.425,38.3695,1.0,0.0,0.0,0.0042,0.0015,0.0004,0.9954,0.0014,0.0004,0.14,0.347,0.0962,1354.0839,17.3599,4.8119,2979.1278,51.3371,14.2299,0.0827,0.0014,0.0004,0.0,0.0,0.0,0.0827,0.0014,0.0004
E4,NBHD_TRUST,replicas_per_victim,3,50,1.0,0.0,0.0,0.0,0.0,0.0,212.1,99.2261,27.5041,0.0,,,,0.2068,0.0721,0.02,0.0023,0.0032,0.0009,0.9953,0.0012,0.0003,0.06,0.2375,0.0658,3421.9526,22.1905,6.1509,757.1255,12.5885,3.4894,0.021,0.0003,0.0001,0.0008,0.0,0.0,0.0218,0.0004,0.0001
E4,PROPOSED,replicas_per_victim,3,50,1.0,0.0,0.0,0.0,0.0,0.0,253.4,68.4346,18.9691,1.0,1209.82,210.5392,58.3585,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2400.242,35.6134,9.8715,5996.7247,96.7994,26.8314,0.1665,0.0027,0.0007,0.0002,0.0,0.0,0.1667,0.0027,0.0007
E4,XED,replicas_per_victim,4,50,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.3066,2.3025,1.0,100.82,27.4741,7.6154,1.0,0.0,0.0,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1166.779,2.1096,0.5848,1453.4227,24.5558,6.8065,0.0404,0.0007,0.0002,0.0,0.0,0.0,0.0404,0.0007,0.0002
E4,SIG_RANGE,replicas_per_victim,4,50,1.0,0.0,0.0,0.0,0.0,0.0,16.6,18.1,5.0171,1.0,599.12,167.1588,46.3341,1.0,0.0,0.0,0.0039,0.0016,0.0004,0.9954,0.0014,0.0004,0.12,0.2358,0.0654,1385.2544,22.2093,6.1561,2979.3808,53.2066,14.7481,0.0827,0.0015,0.0004,0.0,0.0,0.0,0.0827,0.0015,0.0004
E4,NBHD_TRUST,replicas_per_victim,4,50,1.0,0.0,0.0,0.0,0.0,0.0,164.82,66.1667,18.3405,0.0,,,,0.2311,0.1214,0.0337,0.0032,0.0047,0.0013,0.9952,0.001,0.0003,0.04,0.196,0.0543,3415.674,24.1124,6.6836,755.2182,13.2884,3.6834,0.021,0.0004,0.0001,0.0008,0.0,0.0,0.0218,0.0004,0.0001
E4,PROPOSED,replicas_per_victim,4,50,1.0,0.0,0.0,0.0,0.0,0.0,265.55,72.6836,20.1469,1.0,1204.96,174.2449,48.2982,1.0,0.0,0.0,0.0001,0.0004,0.0001,0.9999,0.0007,0.0002,1.0,0.0,0.0,2402.598,41.1449,11.4048,5996.3905,98.9566,27.4294,0.1665,0.0027,0.0008,0.0002,0.0,0.0,0.1667,0.0028,0.0008
E4,XED,replicas_per_victim,5,50,1.0,0.0,0.0,0.0,0.0,0.0,1.62,4.34,1.203,1.0,106.56,31.2481,8.6615,1.0,0.0,0.0,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1166.6656,2.1714,0.6019,1443.5383,21.1512,5.8628,0.0401,0.0006,0.0002,0.0,0.0,0.0,0.0401,0.0006,0.0002
E4,SIG_RANGE,replicas_per_victim,5,50,1.0,0.0,0.0,0.0,0.0,0.0,10.84,16.2387,4.5011,1.0,589.18,139.3347,38.6216,1.0,0.0,0.0,0.0043,0.0014,0.0004,0.9954,0.0014,0.0004,0.12,0.2561,0.071,1415.9506,27.6604,7.6671,2983.3949,47.8643,13.2673,0.0828,0.0013,0.0004,0.0,0.0,0.0,0.0828,0.0013,0.0004
E4,NBHD_TRUST,replicas_per_victim,5,50,1.0,0.0,0.0,0.0,0.0,0.0,124.24,42.9272,11.8988,0.0,,,,0.2442,0.131,0.0363,0.0023,0.0029,0.0008,0.9952,0.001,0.0003,0.04,0.196,0.0543,3413.6676,20.8337,5.7748,756.073,11.0172,3.0538,0.021,0.0003,0.0001,0.0008,0.0,0.0,0.0218,0.0003,0.0001
E4,PROPOSED,replicas_per_victim,5,50,1.0,0.0,0.0,0.0,0.0,0.0,268.03,73.956,20.4995,1.0,1197.86,173.997,48.2295,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2420.6688,35.7761,9.9166,6011.6799,88.9251,24.6488,0.1669,0.0025,0.0007,0.0002,0.0,0.0,0.1671,0.0025,0.0007
E4,XED,replicas_per_victim,6,50,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,98.22,35.1422,9.7409,1.0,0.0,0.0,0.005,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,1167.2244,2.4097,0.6679,1438.9464,23.1275,6.4106,0.04,0.0006,0.0002,0.0,0.0,0.0,0.04,0.0006,0.0002
