experiment,protocol,param,value,n_runs,P_d_mean,P_d_std,P_d_ci95,FNR_mean,FNR_std,FNR_ci95,T_d_mean,T_d_std,T_d_ci95,T_q_completed,T_q_mean,T_q_std,T_q_ci95,COV_mean,COV_std,COV_ci95,FPR_mean,FPR_std,FPR_ci95,S_mean,S_std,S_ci95,S_b_mean,S_b_std,S_b_ci95,M_mean,M_std,M_ci95,C_mean,C_std,C_ci95,E_radio_mean,E_radio_std,E_radio_ci95,E_cpu_mean,E_cpu_std,E_cpu_ci95,E_mean,E_std,E_ci95
E2S,NBHD_TRUST,event_grow_time,1200,50,0.4,0.4899,0.1358,0.6,0.4899,0.1358,416.7,279.975,122.7045,0.0,,,,0.0089,0.019,0.0053,0.0001,0.0002,0.0,0.9999,0.0007,0.0002,0.98,0.14,0.0388,3424.0766,21.6208,5.993,764.3818,11.779,3.265,0.0212,0.0003,0.0001,0.0008,0.0,0.0,0.0221,0.0003,0.0001
E2S,PROPOSED,event_grow_time,1200,50,0.92,0.2088,0.0579,0.08,0.2088,0.0579,1333.051,207.5573,58.116,0.0,,,,0.6409,0.2698,0.0748,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2374.065,37.3478,10.3523,6079.1475,91.1148,25.2557,0.1688,0.0025,0.0007,0.0002,0.0,0.0,0.169,0.0025,0.0007
E2S,NBHD_TRUST,event_grow_time,600,50,0.4,0.4899,0.1358,0.6,0.4899,0.1358,494.15,371.3617,162.7565,0.0,,,,0.0074,0.0155,0.0043,0.0001,0.0002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3420.6598,21.8556,6.0581,764.2969,13.8323,3.8341,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.0221,0.0004,0.0001
E2S,PROPOSED,event_grow_time,600,50,0.94,0.1625,0.045,0.06,0.1625,0.045,1218.8,264.036,73.187,0.06,1858.0,23.1517,26.1986,0.7505,0.2541,0.0704,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2376.9333,36.4188,10.0948,6069.7625,111.7897,30.9865,0.1685,0.0031,0.0009,0.0002,0.0,0.0,0.1687,0.0031,0.0009
E2S,NBHD_TRUST,event_grow_time,300,50,0.5,0.5,0.1386,0.5,0.5,0.1386,509.8,357.1597,140.0066,0.0,,,,0.0139,0.0366,0.0101,0.0002,0.0006,0.0002,0.9999,0.0007,0.0002,0.98,0.14,0.0388,3423.3798,21.7809,6.0374,764.8969,13.8219,3.8312,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.0221,0.0004,0.0001
E2S,PROPOSED,event_grow_time,300,50,0.95,0.15,0.0416,0.05,0.15,0.0416,1138.54,241.8674,67.0422,0.06,1812.3333,181.1451,204.985,0.7953,0.2268,0.0629,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2384.7916,40.6498,11.2676,6073.7288,108.7317,30.1389,0.1686,0.003,0.0008,0.0002,0.0,0.0,0.1688,0.003,0.0008
E2S,NBHD_TRUST,event_grow_time,150,50,0.58,0.4936,0.1368,0.42,0.4936,0.1368,615.2069,350.0705,127.4127,0.0,,,,0.0127,0.0203,0.0056,0.0002,0.0002,0.0001,1.0,0.0,0.0,1.0,0.0,0.0,3421.3622,21.0218,5.8269,763.1241,14.121,3.9141,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2S,PROPOSED,event_grow_time,150,50,0.98,0.098,0.0272,0.02,0.098,0.0272,1097.89,229.315,63.5629,0.14,1826.0,157.0423,116.3386,0.8597,0.1971,0.0546,0.0001,0.0005,0.0001,0.9999,0.0007,0.0002,1.0,0.0,0.0,2385.369,36.9971,10.2551,6054.2025,116.0716,32.1734,0.1681,0.0032,0.0009,0.0002,0.0,0.0,0.1683,0.0032,0.0009
E2S,NBHD_TRUST,event_grow_time,75,50,0.64,0.48,0.133,0.36,0.48,0.133,493.8125,292.3308,101.2874,0.0,,,,0.0162,0.0236,0.0065,0.0003,0.0004,0.0001,0.9998,0.001,0.0003,0.96,0.196,0.0543,3425.768,21.0676,5.8396,763.0339,14.0701,3.9,0.0212,0.0004,0.0001,0.0008,0.0,0.0,0.022,0.0004,0.0001
E2S,PROPOSED,event_grow_time,75,50,0.94,0.1908,0.0529,0.06,0.1908,0.0529,1064.898,231.9174,64.9369,0.1,1816.8,94.8059,83.101,0.8062,0.2343,0.065,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2388.856,39.6466,10.9895,6056.0835,112.9186,31.2994,0.1681,0.0031,0.0009,0.0002,0.0,0.0,0.1683,0.0031,0.0009
